,names,nfollowers,ntweets,type
0,amycatalinac,333,82,expert
1,SimoneKanter,232,7021,expert
2,NathanHRubin,24116,3689,celebrity
3,Nicogarcia2345,120,4669,expert
4,MaruchaCuriel,247,1022,expert
5,jason_qiang_guo,75,14,layman
6,DrewABrumbaugh,98,172,layman
7,GSASMastersAlum,154,1128,expert
8,harringcbh,62,419,layman
9,SalmanSarwar95,14,57,layman
10,hesterleyser,113,215,expert
11,narminjivani,538,4597,expert
12,hollapino,521,11426,expert
13,NYUPsych,2234,2749,celebrity
14,HenryVLancaster,54,1179,layman
15,che1sey,348,10253,expert
16,Bewegungskrieg,631,783,expert
17,abaldama,262,2618,expert
18,hyeyoungyou,1381,2172,celebrity
19,lrnbeard,5,1,layman
20,Fmaros,581,16086,expert
21,NYUCAS,1771,4736,celebrity
22,jyotsna365,8,2,layman
23,MVPjobs,38,171,layman
24,CVL1908,7,22,layman
25,MillySchiff,93,1181,layman
26,NYUArtsPolitics,561,920,expert
27,rycoka,569,3433,expert
28,TheJasonLJ,5,0,layman
29,RafaelMerino15,123,0,expert
30,NYUHistory,314,176,expert
31,Emwest07,28,13,layman
32,ThomasHasenzagl,51,129,layman
33,forehandloop,332,6109,expert
34,LorenaOlarte,55,323,layman
35,RaminBugti,569,1241,expert
36,leizhh2008,29,31,layman
37,SKates5350,32,86,layman
38,WilliamGodel,75,336,layman
39,davidagordon9,107,635,expert
40,EastAsianNYU,163,164,expert
41,alexvhj,754,6912,expert
42,NYULeads,3994,2343,celebrity
43,guilhermejpm,128,4029,expert
44,jorge_penacue,313,4509,expert
45,arthur_spirling,1062,1246,celebrity
46,saadgulzar,1571,7743,celebrity
47,kmmunger,584,96,expert
48,Mispronunced,104,544,expert
49,anthlittle,770,1827,expert
50,ctdawes,329,1172,expert
51,chengming198777,414,1075,expert
52,CEH_NYU,346,2289,expert
53,annabewick,1636,6136,celebrity
54,abbey_st,622,968,expert
55,Autarkh,1001,19251,celebrity
56,peterdalle,3088,36071,celebrity
57,realVenus5,74,310,layman
58,rokoshpster,6,0,layman
59,olivia_poccia,62,389,layman
60,frey_kindi,14,21,layman
61,patricionavia,380691,22335,celebrity
62,GigiTsiklauri,12,1,layman
63,umbertomig,259,234,expert
64,alexjabbour,2177,8360,celebrity
65,ZuhaJamill,1455,1694,celebrity
66,moospac,68,148,layman
67,MansurOriana,238,500,expert
68,tonybertelli,974,363,expert
69,DrJessPShatkin,1108,1571,celebrity
70,LionBehrens,117,351,expert
71,aiai_garcia,296,139,expert
72,gmcandolo,32,81,layman
73,7c40cfc857da4f7,0,0,layman
74,andyguess,1119,2512,celebrity
75,jasdeep2020,1,0,layman
76,aselrod,709,19281,expert
77,ImogenFordyce,190,4294,expert
78,chevis1017,3,3,layman
79,akumar0813,93,366,layman
80,aaronweinschenk,765,1587,expert
81,AnnaYulsman,9,1,layman
82,Ben_Coleridge,789,1747,expert
83,MazedonStudents,278,25,expert
84,IzaskunZuazu,44,157,layman
85,Memoir_,6284,1484,celebrity
86,ArnauSauri,98,717,layman
87,sarmishtoo,60,630,layman
88,a_publica,11948,44011,celebrity
89,Ileri_Jaiy14,507,11906,expert
90,timerice1,282,1585,expert
91,beckermichaele,38,0,layman
92,VishanJPatel,11,0,layman
93,ah_hengl,50,16,layman
94,stephatree,191,1475,expert
95,GrossAbraham,87,648,layman
96,CamillaIannotta,111,1354,expert
97,wogml4394,0,0,layman
98,chloeevalentina,240,1394,expert
99,KevinZhang13,18,18,layman
100,hughsansom,625,20454,expert
101,erikmkeane,168,45,expert
102,javita_m,1256,5757,celebrity
103,MyongsinC,45,43,layman
104,dannybfoss,56,4,layman
105,_danielcueto,251,2890,expert
106,j_a_tucker,3587,5403,celebrity
107,adilk0870,1225,698,celebrity
108,csgsnyu,1344,467,celebrity
109,selviaislam,4,3,layman
110,AresK10,290,1008,expert
111,ayman_elsharif,317068,18396,celebrity
112,ckerriganfisher,77,640,layman
113,elizabethmdown,81,1032,layman
114,gezgoren,875,6571,expert
115,samraskinz,353,3088,expert
116,mierkezat,234,812,expert
117,MDRC_News,13888,16755,celebrity
118,Hassaan06,557,10856,expert
119,jasonachase,16,39,layman
120,GIHNYU,4973,2410,celebrity
121,arshharjani,84,637,layman
122,trblmkrnyc,257,8915,expert
123,kirraklein,22165,5816,celebrity
124,mypatronusLOTR,296,149,expert
125,larrytyler2015,6,2,layman
126,jagallegod,496,171,expert
127,mzmihalev,666,2179,expert
128,nsantaniello13,55,5,layman
129,asgovandpol,64,128,layman
130,joserespinosa,2542,7085,celebrity
131,AndreaGordillo,89,130,layman
132,oamcarter,251,2531,expert
133,ugurcanevci,207,3518,expert
134,noheli_h,0,0,layman
135,Ohmygossip,1295155,20500,celebrity
136,ScholarReflect,183,854,expert
137,ryanacast,73,1168,layman
138,nyuIHDSC,364,633,expert
139,jlegewie,370,111,expert
140,andreamarianais,63,641,layman
141,RehRafay,218,330,expert
142,DiannaVictory,17,57,layman
143,NYUSociology,1051,892,celebrity
144,PeterPaine24,329,1383,expert
145,NickCho9,233,3188,expert
146,joejaturavith,78,88,layman
147,ajk024,245,6630,expert
148,xrmajestic,409,8303,expert
149,PSA_APG,890,415,expert
150,martin_reznick,30,24,layman
151,asmusharre,2,0,layman
152,PGRIII,221,404,expert
153,parashar1708,72,4,layman
154,nimdvir,15315,2427,celebrity
155,iiirem25,162,3025,expert
156,originalbaxter,16,22,layman
157,ro_camarena,699,1620,expert
158,HarisFontaine,22,59,layman
159,marina_carbajal,1599,6593,celebrity
160,GOlga789,6,0,layman
161,lukenoel_,301,677,expert
162,dudefacebrostuf,9,89,layman
163,jeanjiyeonhong,76,91,layman
164,DajaFairley1,87,30,layman
165,simonyantani_,257,972,expert
166,NYUCMEP,2769,3858,celebrity
167,HimaniK2,14,9,layman
168,TheOnlyTristan,437,1103,expert
169,kbyadgi,107,224,expert
170,LilyStewart977,455,2277,expert
171,vsoliani,44,992,layman
172,Angeles2345a,55,618,layman
173,farhathferoz,46,22,layman
174,nyuniversity,90832,12468,celebrity
175,div_z,167,7275,expert
176,CAllavena,18,0,layman
177,asplawinski,129,5543,expert
178,AislingTheHuman,255,10740,expert
179,Daniel_Bogea,19,19,layman
180,Ryan_E_Walsh,762,4110,expert
181,krupinskii,5,0,layman
182,RCastNY,47,111,layman
183,NYUJordanCenter,858,2280,expert
184,jadeygaga26,1,22,layman
185,DariusCallier,296,4808,expert
186,KyraSV,19,63,layman
187,metalgf,227,3979,expert
188,Meeks_91,138,960,expert
189,moralesypecados,273,10181,expert
190,HopeHistPol,207,135,expert
191,ShelleyRanii,311,107,expert
192,USSA_Reoriented,22,285,layman
193,yangyang_zhou,307,343,expert
194,CeliaP_A,22,3,layman
195,SiyaSaggi,9,174,layman
196,SethimusTwitius,978,23502,expert
197,maribernardez,430,1723,expert
198,cateblanchetttt,382,4372,expert
199,CarlosEsteban28,341,2316,expert
200,LuisCornagoB,1111,17888,celebrity
201,tcordero1,7,0,layman
202,CVsquad,29437,1192,celebrity
203,yx_Windy,9,0,layman
204,Matt_Fischetti,137,9,expert
205,ruresem,643,12881,expert
206,r_j_carroll,380,480,expert
207,a_natalegawa,323,89,expert
208,thomyorkethom,109,137,expert
209,dkab91,305,3068,expert
210,yenan_online,47,79,layman
211,CWRU_Polisci,208,410,expert
212,The_Periphery_1,55,354,layman
213,guanhuisg,18,7,layman
214,SolomonMg,2564,1314,celebrity
215,WISHHousing,728,3325,expert
216,AustinDelRio,208,589,expert
217,alizaluft,1969,3079,celebrity
218,hihanners,1,0,layman
219,Gautamscity,5,4,layman
220,o_garcia_ponce,1894,6793,celebrity
221,alicehsieh,163,2,expert
222,Basipek,6,10,layman
223,dbw2011,153,4195,expert
224,BilalcHussain,105,265,expert
225,ryuerica,37,1,layman
226,PamelaFalk,12616,29321,celebrity
227,GGianpaul19,85,2754,layman
228,VirgilRecords,1952,6949,celebrity
229,heymancenter,1489,2414,celebrity
230,tnborn,92,669,layman
231,Montaigneiro,100,331,layman
232,intercostal_ink,131,4371,expert
233,SamanMarji,144,848,expert
234,CartwrightLucas,818,3652,expert
235,ArtsandScience,5770,3572,celebrity
236,Patrick_J_Egan,2664,60,celebrity
237,AlvinaErman,51,76,layman
238,LianaEustacia,231,615,expert
239,pooooojamas,40,64,layman
240,arash_karimian,16,1,layman
241,SaheemKhizar90,589,2426,expert
242,JenniferAnnBee,106,343,expert
243,simoneleiro,190,701,expert
244,RobAshgate,22,1,layman
245,djibouti__,86,90,layman
246,bennett_eliz,171,1453,expert
247,chiaraeramo,37,30,layman
248,HumorSnark,91,122,layman
249,ravteg,7,0,layman
250,kthleenclaire,241,855,expert
251,FrankBozzi,289,888,expert
252,GoodyBagMarket,1691,20733,celebrity
253,Mahashraya,55,213,layman
254,victorequality,174,355,expert
255,JRSterne,1116,13212,celebrity
256,orlyyarlylolwut,47,2599,layman
257,IR_Society_NYU,29,7,layman
258,a_harris4,178,282,expert
259,mnessy07,74,205,layman
260,AriasEric,208,27,expert
261,S4RH4TK44N,63,24,layman
262,giobarcenes,432,3931,expert
263,scootysee,56,570,layman
264,EliaFNigris,387,4391,expert
265,LeahWdnmnn,50,45,layman
266,alexualhealing,579,13075,expert
267,prodriguezsosa,540,327,expert
268,j_babez,231,7214,expert
269,jessicaqiu,50,848,layman
270,CaitlinElling,4,0,layman
271,saaalvar,146,565,expert
272,Fifinug,237,1559,expert
273,KieranSiao,504,2250,expert
274,MeirJa,22461,29093,celebrity
275,Dylan_J_Welch,144,140,expert
276,HarryOppy,86,182,layman
277,NYUCEMS,292,191,expert
278,NYUDiso,76,176,layman
279,CubaUpdateCCS,200,7,expert
280,ImamPrime,145,0,expert
281,tripdad05,57,75,layman
282,tbrocnyc,223,1296,expert
283,GabrielaBillini,177,6035,expert
284,samb1322,191,157,expert
285,ACCPChile,2858,1810,celebrity
286,stjoespol,283,1052,expert
287,stephaniejones7,161,483,expert
288,kimmy_vdub,51,49,layman
289,MisterCPeps,161,1113,expert
290,Gabs0518,208,1846,expert
291,cabaracky,85,1976,layman
292,nikhanbury,39,225,layman
293,JaclynSRoberts,105,252,expert
294,danielleherring,56,413,layman
295,Connor_R_Hill,36,1590,layman
296,WICnyu,123,445,expert
297,justahn1,140,1418,expert
298,leahkelley19,126,1541,expert
299,KaiserKaczor,52,168,layman
300,ErinSWeb,123,1247,expert
301,kerricostello,24,54,layman
302,sexton538,95,33,layman
303,jdlakin480,175,459,expert
304,akerfonta,50,1165,layman
305,accuhc,6,4,layman
306,DrewDim,202,386,expert
307,Rodolpho81,81,145,layman
308,XiRoxy,24,627,layman
309,leeciocia,22,502,layman
310,p_barbera,2472,1987,celebrity
311,gina_peters,75,248,layman
312,GriffIncognito,388,11582,expert
313,mnclde,522,44998,expert
314,meredithshevitz,659,5057,expert
315,CamilleA13,42,33,layman
316,juliem875,27,2,layman
317,Costa_Izquierda,461,1478,expert
318,hersheyp,441,2523,expert
