,names,nfollowers,ntweets,type
0,europsa,4774,231,celebrity
1,Emwest07,28,13,layman
2,NYUHistory,314,176,expert
3,CUP_PoliSci,11185,6088,celebrity
4,hyeyoungyou,1381,2172,celebrity
5,arthur_spirling,1062,1246,celebrity
6,ctdawes,329,1172,expert
7,anthlittle,770,1827,expert
8,pquerubo,686,440,expert
9,Jonathan_Nagler,147,99,expert
10,JamesBisbee,76,99,layman
11,j_a_tucker,3587,5403,celebrity
12,kmmunger,584,96,expert
13,cdsamii,2031,5296,celebrity
14,saadgulzar,1571,7743,celebrity
15,Patrick_J_Egan,2664,60,celebrity
16,audreygelman,12965,8682,celebrity
17,MichelleObama,8687284,808,celebrity
18,nytimes,39046005,288568,celebrity
19,TheOnion,10198251,53504,celebrity
20,OpenGov44,814073,885,celebrity
21,thenation,1225326,61437,celebrity
22,BreakingNews,9600222,101115,celebrity
23,cnnbrk,52032504,57371,celebrity
24,markknoller,304707,115651,celebrity
