,names,nfollowers,ntweets,type
0,europsa,4774.0,231,celebrity
1,Emwest07,28.0,13,layman
2,NYUHistory,314.0,176,expert
3,CUP_PoliSci,11185.0,6088,celebrity
4,hyeyoungyou,1381.0,2172,celebrity
5,arthur_spirling,1062.0,1246,celebrity
6,ctdawes,329.0,1172,expert
7,anthlittle,770.0,1827,expert
8,pquerubo,686.0,440,expert
9,Jonathan_Nagler,147.0,99,expert
10,JamesBisbee,76.0,99,layman
11,j_a_tucker,3587.0,5403,celebrity
12,kmmunger,584.0,96,expert
13,cdsamii,2031.0,5296,celebrity
14,saadgulzar,1571.0,7743,celebrity
15,Patrick_J_Egan,2664.0,60,celebrity
16,audreygelman,12965.0,8682,celebrity
17,MichelleObama,8687284.0,808,celebrity
18,nytimes,39046005.0,288568,celebrity
19,TheOnion,10198251.0,53504,celebrity
20,OpenGov44,814073.0,885,celebrity
21,thenation,1225326.0,61437,celebrity
22,BreakingNews,9600222.0,101115,celebrity
23,cnnbrk,52032504.0,57371,celebrity
24,markknoller,304707.0,115651,celebrity
0,SenatorCollins,,2229,
1,SenFeinstein,,5309,
2,NYUpolitics,,45,
3,jonmladd,,16620,
4,NateSilver538,,16732,
5,POTUS,,1027,
6,UpshotNYT,,28675,
7,dbroockman,,3705,
8,kwcollins,,33192,
9,leah_boustan,,3897,
10,thaddunning,,535,
11,evlieb,,495,
12,graemedblair,,872,
13,saadgulzar,,7743,
14,aecoppock,,1039,
15,dandekadt,,3076,
16,dustintingley,,324,
17,justingrimmer,,5353,
18,cd_lucas,,404,
19,andrewbhall,,66,
20,melissaleesands,,1391,
21,ykrupnikov,,581,
22,Nate_Cohn,,35714,
23,timothymfrye,,3742,
24,SalvantoCBS,,1211,
25,BrendanNyhan,,51122,
26,CNN,,144771,
27,guygrossman,,939,
28,CBSNews,,137971,
29,DeMarcoReports,,5538,
30,Patrick_J_Egan,,60,
31,WSJ,,210389,
32,o_garcia_ponce,,6793,
33,TheEconomist,,115727,
34,jhaushofer,,637,
35,DrewDim,,386,
36,EGAPTweets,,721,
37,cdsamii,,5296,
38,maqartan,,131,
39,MYANC,,41939,
40,realDonaldTrump,,35580,
41,SenSanders,,17136,
42,HillaryClinton,,9899,
43,prettyinpanache,,150,
44,ianfobrien,,431,
45,mokochita,,3428,
46,rayogramtorin,,12,
47,AlhanKeser,,2053,
48,PerezHilton,,285333,
49,paulaguraieb,,688,
50,margura,,322,
51,epicurious,,49132,
